How to say	How do you say
I have a doubt	I have a question
I am agree	I agree
I am boring	I am bored
I have 25 years	I am 25 years old
I am married with	I am married to
I made a party	I I hosted a party
I am very interesting in	I am very interested in
I have no money	I don't have any money
I am here since	I have been here since
I will go to home	I will go home
I am knowing	I know
I am thinking to go	I am thinking of going
I am difficult	I find it difficult
I am used to drive	I am used to driving
I am agree with you	I agree with you
I am sorry, I cannot	I am sorry, but I can't
I have visited yesterday	I visited yesterday
I am going to home	I am going home
I am student	I am a student
I am live in	I live in
I am working here since	I have been working here since
I am having	I have
I am hearing	I hear
I am understanding	I understand
I am believing	I believe
I am seeming	I seem
I am liking	I like
I am loving	I love
I am not knowing	I don't know
I am not understanding	I don't understand
I am not believing	I don't believe
I am not liking	I don't like
I am not loving	I don't love
I am not hearing	I don't hear
I am not seeing	I don't see
I am not believing you	I don't believe you
I am not understanding you	I don't understand you
I am not agreeing	I don't agree
I am not thinking	I don't think
I am not seeming	I don't seem
I am not liking it	I don't like it
I am not loving it	I don't love it
I am not hearing you	I don't hear you
I am not seeing you	I don't see you
I am not believing you	I don't believe you
I am not understanding you	I don't understand you
I am not agreeing with you	I don't agree with you
I am not thinking to go	I don't think of going
I am not seeming to understand	I don't seem to understand
I will explain you	I will explain to you
I will go to shopping	I will go shopping
I will discuss about it	I will discuss it
I will return back	I will return
I will take a coffee	I will have a coffee
I will make a shower	I will take a shower
I will give an exam	I will take an exam
I will make a photo	I will take a photo
I will make a decision	I will decide
