he be cooking	he's usually cooking
she be cooking	she's usually cooking
they be cooking	they're usually cooking
he be staying	he's usually staying
she be staying	she's usually staying
they be staying	they're usually staying
he be using	he's usually using
she be using	she's usually using
they be using	they're usually using
he be packing	he's usually packing
she be packing	she's usually packing
they be packing	they're usually packing
he be pissing	he's usually pissing
she be pissing	she's usually pissing
they be pissing	they're usually pissing
he be capping	he's usually capping
she be capping	she's usually capping
they be capping	they're usually capping
he be throwing	he's usually throwing
she be throwing	she's usually throwing
they be throwing	they're usually throwing
he be singing	he's usually singing
she be singing	she's usually singing
they be singing	they're usually singing
he be bleeding	he's usually bleeding
she be bleeding	she's usually bleeding
they be bleeding	they're usually bleeding
he be spinning	he's usually spinning
she be spinning	she's usually spinning
they be spinning	they're usually spinning
he be calling	he's usually calling
she be calling	she's usually calling
they be calling	they're usually calling
he be dancing	he's usually dancing
she be dancing	she's usually dancing
they be dancing	they're usually dancing
he be dropping	he's usually dropping
she be dropping	she's usually dropping
they be dropping	they're usually dropping
he be rambling	he's usually rambling
she be rambling	she's usually rambling
they be rambling	they're usually rambling
he be willing	he's usually willing
she be willing	she's usually willing
they be willing	they're usually willing
he be shitting	he's usually shitting
she be shitting	she's usually shitting
they be shitting	they're usually shitting
he be flipping	he's usually flipping
she be flipping	she's usually flipping
they be flipping	they're usually flipping
he be dying	he's usually dying
she be dying	she's usually dying
they be dying	they're usually dying
he be watching	he's usually watching
she be watching	she's usually watching
they be watching	they're usually watching
he be feeling	he's usually feeling
she be feeling	she's usually feeling
they be feeling	they're usually feeling
he be missing	he's usually missing
she be missing	she's usually missing
they be missing	they're usually missing
he be waving	he's usually waving
she be waving	she's usually waving
they be waving	they're usually waving
he be cussing	he's usually cussing
she be cussing	she's usually cussing
they be cussing	they're usually cussing
he be bobbing	he's usually bobbing
she be bobbing	she's usually bobbing
they be bobbing	they're usually bobbing
he be flexing	he's usually flexing
she be flexing	she's usually flexing
they be flexing	they're usually flexing
he be begging	he's usually begging
she be begging	she's usually begging
they be begging	they're usually begging
he be paying	he's usually paying
she be paying	she's usually paying
they be paying	they're usually paying
he be standing	he's usually standing
she be standing	she's usually standing
they be standing	they're usually standing
he be coming	he's usually coming
she be coming	she's usually coming
they be coming	they're usually coming
he be frigging	he's usually frigging
she be frigging	she's usually frigging
they be frigging	they're usually frigging
he be stepping	he's usually stepping
she be stepping	she's usually stepping
they be stepping	they're usually stepping
he be picking	he's usually picking
she be picking	she's usually picking
they be picking	they're usually picking
he be puffing	he's usually puffing
she be puffing	she's usually puffing
they be puffing	they're usually puffing
he be asking	he's usually asking
she be asking	she's usually asking
they be asking	they're usually asking
he be morning	he's usually morning
she be morning	she's usually morning
they be morning	they're usually morning
he be eating	he's usually eating
she be eating	she's usually eating
they be eating	they're usually eating
he be icing	he's usually icing
she be icing	she's usually icing
they be icing	they're usually icing
he be breathing	he's usually breathing
she be breathing	she's usually breathing
they be breathing	they're usually breathing
he be digging	he's usually digging
she be digging	she's usually digging
they be digging	they're usually digging
