hi bi ?k?k?n	hi?z ?ju???li ?k?k??
?i bi ?k?k?n	?i?z ?ju???li ?k?k??
ğe? bi ?k?k?n	ğe? ?ju???li ?k?k??
hi bi ?ste??n	hi?z ?ju???li ?ste???
?i bi ?ste??n	?i?z ?ju???li ?ste???
ğe? bi ?ste??n	ğe? ?ju???li ?ste???
hi bi ?juz?n	hi?z ?ju???li ?juz??
?i bi ?juz?n	?i?z ?ju???li ?juz??
ğe? bi ?juz?n	ğe? ?ju???li ?juz??
hi bi ?pæk?n	hi?z ?ju???li ?pæk??
?i bi ?pæk?n	?i?z ?ju???li ?pæk??
ğe? bi ?pæk?n	ğe? ?ju???li ?pæk??
hi bi ?p?s?n	hi?z ?ju???li ?p?s??
?i bi ?p?s?n	?i?z ?ju???li ?p?s??
ğe? bi ?p?s?n	ğe? ?ju???li ?p?s??
hi bi ?kæp?n	hi?z ?ju???li ?kæp??
?i bi ?kæp?n	?i?z ?ju???li ?kæp??
ğe? bi ?kæp?n	ğe? ?ju???li ?kæp??
hi bi ???o??n	hi?z ?ju???li ???o???
?i bi ???o??n	?i?z ?ju???li ???o???
ğe? bi ???o??n	ğe? ?ju???li ???o???
hi bi ?s???n	hi?z ?ju???li ?s????
?i bi ?s???n	?i?z ?ju???li ?s????
ğe? bi ?s???n	ğe? ?ju???li ?s????
hi bi ?blid?n	hi?z ?ju???li ?blid??
?i bi ?blid?n	?i?z ?ju???li ?blid??
ğe? bi ?blid?n	ğe? ?ju???li ?blid??
hi bi ?sp?n?n	hi?z ?ju???li ?sp?n??
?i bi ?sp?n?n	?i?z ?ju???li ?sp?n??
ğe? bi ?sp?n?n	ğe? ?ju???li ?sp?n??
hi bi ?k??l?n	hi?z ?ju???li ?k??l??
?i bi ?k??l?n	?i?z ?ju???li ?k??l??
ğe? bi ?k??l?n	ğe? ?ju???li ?k??l??
hi bi ?dæns?n	hi?z ?ju???li ?dæns??
?i bi ?dæns?n	?i?z ?ju???li ?dæns??
ğe? bi ?dæns?n	ğe? ?ju???li ?dæns??
hi bi ?d??p?n	hi?z ?ju???li ?d??p??
?i bi ?d??p?n	?i?z ?ju???li ?d??p??
ğe? bi ?d??p?n	ğe? ?ju???li ?d??p??
hi bi ??æmbl?n	hi?z ?ju???li ??æmbl??
?i bi ??æmbl?n	?i?z ?ju???li ??æmbl??
ğe? bi ??æmbl?n	ğe? ?ju???li ??æmbl??
hi bi ?w?l?n	hi?z ?ju???li ?w?l??
?i bi ?w?l?n	?i?z ?ju???li ?w?l??
ğe? bi ?w?l?n	ğe? ?ju???li ?w?l??
hi bi ???t?n	hi?z ?ju???li ???t??
?i bi ???t?n	?i?z ?ju???li ???t??
ğe? bi ???t?n	ğe? ?ju???li ???t??
hi bi ?fl?p?n	hi?z ?ju???li ?fl?p??
?i bi ?fl?p?n	?i?z ?ju???li ?fl?p??
ğe? bi ?fl?p?n	ğe? ?ju???li ?fl?p??
hi bi ?da??n	hi?z ?ju???li ?da???
?i bi ?da??n	?i?z ?ju???li ?da???
ğe? bi ?da??n	ğe? ?ju???li ?da???
hi bi ?w???n	hi?z ?ju???li ?w????
?i bi ?w???n	?i?z ?ju???li ?w????
ğe? bi ?w???n	ğe? ?ju???li ?w????
hi bi ?fil?n	hi?z ?ju???li ?fil??
?i bi ?fil?n	?i?z ?ju???li ?fil??
ğe? bi ?fil?n	ğe? ?ju???li ?fil??
hi bi ?m?s?n	hi?z ?ju???li ?m?s??
?i bi ?m?s?n	?i?z ?ju???li ?m?s??
ğe? bi ?m?s?n	ğe? ?ju???li ?m?s??
hi bi ?we?v?n	hi?z ?ju???li ?we?v??
?i bi ?we?v?n	?i?z ?ju???li ?we?v??
ğe? bi ?we?v?n	ğe? ?ju???li ?we?v??
hi bi ?k?s?n	hi?z ?ju???li ?k?s??
?i bi ?k?s?n	?i?z ?ju???li ?k?s??
ğe? bi ?k?s?n	ğe? ?ju???li ?k?s??
hi bi ?b?b?n	hi?z ?ju???li ?b?b??
?i bi ?b?b?n	?i?z ?ju???li ?b?b??
ğe? bi ?b?b?n	ğe? ?ju???li ?b?b??
hi bi ?fl?ks?n	hi?z ?ju???li ?fl?ks??
?i bi ?fl?ks?n	?i?z ?ju???li ?fl?ks??
ğe? bi ?fl?ks?n	ğe? ?ju???li ?fl?ks??
hi bi ?b???n	hi?z ?ju???li ?b????
?i bi ?b???n	?i?z ?ju???li ?b????
ğe? bi ?b???n	ğe? ?ju???li ?b????
hi bi ?pe??n	hi?z ?ju???li ?pe???
?i bi ?pe??n	?i?z ?ju???li ?pe???
ğe? bi ?pe??n	ğe? ?ju???li ?pe???
hi bi ?stænd?n	hi?z ?ju???li ?stænd??
?i bi ?stænd?n	?i?z ?ju???li ?stænd??
ğe? bi ?stænd?n	ğe? ?ju???li ?stænd??
hi bi ?k?m?n	hi?z ?ju???li ?k?m??
?i bi ?k?m?n	?i?z ?ju???li ?k?m??
ğe? bi ?k?m?n	ğe? ?ju???li ?k?m??
hi bi ?f????n	hi?z ?ju???li ?f?????
?i bi ?f????n	?i?z ?ju???li ?f?????
ğe? bi ?f????n	ğe? ?ju???li ?f?????
hi bi ?st?p?n	hi?z ?ju???li ?st?p??
?i bi ?st?p?n	?i?z ?ju???li ?st?p??
ğe? bi ?st?p?n	ğe? ?ju???li ?st?p??
hi bi ?p?k?n	hi?z ?ju???li ?p?k??
?i bi ?p?k?n	?i?z ?ju???li ?p?k??
