hi bi ˈlæfɪn	hiːz ˈjuːʒəli ˈlæfɪŋ
ʃi bi ˈlæfɪn	ʃiːz ˈjuːʒəli ˈlæfɪŋ
ðeɪ bi ˈlæfɪn	ðeɪ ˈjuːʒəli ˈlæfɪŋ
hi bi ˈʃaɪnɪn	hiːz ˈjuːʒəli ˈʃaɪnɪŋ
ʃi bi ˈʃaɪnɪn	ʃiːz ˈjuːʒəli ˈʃaɪnɪŋ
ðeɪ bi ˈʃaɪnɪn	ðeɪ ˈjuːʒəli ˈʃaɪnɪŋ
hi bi ˈpɪmpɪn	hiːz ˈjuːʒəli ˈpɪmpɪŋ
ʃi bi ˈpɪmpɪn	ʃiːz ˈjuːʒəli ˈpɪmpɪŋ
ðeɪ bi ˈpɪmpɪn	ðeɪ ˈjuːʒəli ˈpɪmpɪŋ
hi bi ˈkæʧɪn	hiːz ˈjuːʒəli ˈkæʧɪŋ
ʃi bi ˈkæʧɪn	ʃiːz ˈjuːʒəli ˈkæʧɪŋ
ðeɪ bi ˈkæʧɪn	ðeɪ ˈjuːʒəli ˈkæʧɪŋ
hi bi ˈseɪɪn	hiːz ˈjuːʒəli ˈseɪɪŋ
ʃi bi ˈseɪɪn	ʃiːz ˈjuːʒəli ˈseɪɪŋ
ðeɪ bi ˈseɪɪn	ðeɪ ˈjuːʒəli ˈseɪɪŋ
hi bi ˈʤʌmpɪn	hiːz ˈjuːʒəli ˈʤʌmpɪŋ
ʃi bi ˈʤʌmpɪn	ʃiːz ˈjuːʒəli ˈʤʌmpɪŋ
ðeɪ bi ˈʤʌmpɪn	ðeɪ ˈjuːʒəli ˈʤʌmpɪŋ
hi bi ˈfeɪkɪn	hiːz ˈjuːʒəli ˈfeɪkɪŋ
ʃi bi ˈfeɪkɪn	ʃiːz ˈjuːʒəli ˈfeɪkɪŋ
ðeɪ bi ˈfeɪkɪn	ðeɪ ˈjuːʒəli ˈfeɪkɪŋ
hi bi ˈnɒkɪn	hiːz ˈjuːʒəli ˈnɒkɪŋ
ʃi bi ˈnɒkɪn	ʃiːz ˈjuːʒəli ˈnɒkɪŋ
ðeɪ bi ˈnɒkɪn	ðeɪ ˈjuːʒəli ˈnɒkɪŋ
hi bi ˈɹɒkɪn	hiːz ˈjuːʒəli ˈɹɒkɪŋ
ʃi bi ˈɹɒkɪn	ʃiːz ˈjuːʒəli ˈɹɒkɪŋ
ðeɪ bi ˈɹɒkɪn	ðeɪ ˈjuːʒəli ˈɹɒkɪŋ
