/hi bi ˈkɹækɪŋ/	/hiːz ˈjuːʒəli ˈkɹækɪŋ/
/ʃi bi ˈkɹækɪŋ/	/ʃiːz ˈjuːʒəli ˈkɹækɪŋ/
/ðeɪ bi ˈkɹækɪŋ/	/ðeɪ ˈjuːʒəli ˈkɹækɪŋ/
/hi bi ˈlʌvɪŋ/	/hiːz ˈjuːʒəli ˈlʌvɪŋ/
/ʃi bi ˈlʌvɪŋ/	/ʃiːz ˈjuːʒəli ˈlʌvɪŋ/
/ðeɪ bi ˈlʌvɪŋ/	/ðeɪ ˈjuːʒəli ˈlʌvɪŋ/
/hi bi ˈæktɪŋ/	/hiːz ˈjuːʒəli ˈæktɪŋ/
/ʃi bi ˈæktɪŋ/	/ʃiːz ˈjuːʒəli ˈæktɪŋ/
/ðeɪ bi ˈæktɪŋ/	/ðeɪ ˈjuːʒəli ˈæktɪŋ/
/hi bi ˈbloʊɪŋ/	/hiːz ˈjuːʒəli ˈbloʊɪŋ/
/ʃi bi ˈbloʊɪŋ/	/ʃiːz ˈjuːʒəli ˈbloʊɪŋ/
/ðeɪ bi ˈbloʊɪŋ/	/ðeɪ ˈjuːʒəli ˈbloʊɪŋ/
/hi bi ˈpleɪɪŋ/	/hiːz ˈjuːʒəli ˈpleɪɪŋ/
/ʃi bi ˈpleɪɪŋ/	/ʃiːz ˈjuːʒəli ˈpleɪɪŋ/
/ðeɪ bi ˈpleɪɪŋ/	/ðeɪ ˈjuːʒəli ˈpleɪɪŋ/
/hi bi ˈbɔːlɪŋ/	/hiːz ˈjuːʒəli ˈbɔːlɪŋ/
/ʃi bi ˈbɔːlɪŋ/	/ʃiːz ˈjuːʒəli ˈbɔːlɪŋ/
/ðeɪ bi ˈbɔːlɪŋ/	/ðeɪ ˈjuːʒəli ˈbɔːlɪŋ/
/hi bi ˈlɪŋkɪŋ/	/hiːz ˈjuːʒəli ˈlɪŋkɪŋ/
/ʃi bi ˈlɪŋkɪŋ/	/ʃiːz ˈjuːʒəli ˈlɪŋkɪŋ/
/ðeɪ bi ˈlɪŋkɪŋ/	/ðeɪ ˈjuːʒəli ˈlɪŋkɪŋ/
/hi bi ˈheɪtɪŋ/	/hiːz ˈjuːʒəli ˈheɪtɪŋ/
/ʃi bi ˈheɪtɪŋ/	/ʃiːz ˈjuːʒəli ˈheɪtɪŋ/
/ðeɪ bi ˈheɪtɪŋ/	/ðeɪ ˈjuːʒəli ˈheɪtɪŋ/
/hi bi ˈbʌstɪŋ/	/hiːz ˈjuːʒəli ˈbʌstɪŋ/
/ʃi bi ˈbʌstɪŋ/	/ʃiːz ˈjuːʒəli ˈbʌstɪŋ/
/ðeɪ bi ˈbʌstɪŋ/	/ðeɪ ˈjuːʒəli ˈbʌstɪŋ/
/hi bi ˈbʌɡɪŋ/	/hiːz ˈjuːʒəli ˈbʌɡɪŋ/
/ʃi bi ˈbʌɡɪŋ/	/ʃiːz ˈjuːʒəli ˈbʌɡɪŋ/
/ðeɪ bi ˈbʌɡɪŋ/	/ðeɪ ˈjuːʒəli ˈbʌɡɪŋ/
/hi bi ˈfuːlɪŋ/	/hiːz ˈjuːʒəli ˈfuːlɪŋ/
/ʃi bi ˈfuːlɪŋ/	/ʃiːz ˈjuːʒəli ˈfuːlɪŋ/
/ðeɪ bi ˈfuːlɪŋ/	/ðeɪ ˈjuːʒəli ˈfuːlɪŋ/
/hi bi ˈvaɪbɪŋ/	/hiːz ˈjuːʒəli ˈvaɪbɪŋ/
/ʃi bi ˈvaɪbɪŋ/	/ʃiːz ˈjuːʒəli ˈvaɪbɪŋ/
/ðeɪ bi ˈvaɪbɪŋ/	/ðeɪ ˈjuːʒəli ˈvaɪbɪŋ/
/hi bi ˈɹæpɪŋ/	/hiːz ˈjuːʒəli ˈɹæpɪŋ/
/ʃi bi ˈɹæpɪŋ/	/ʃiːz ˈjuːʒəli ˈɹæpɪŋ/
/ðeɪ bi ˈɹæpɪŋ/	/ðeɪ ˈjuːʒəli ˈɹæpɪŋ/
/hi bi ˈblæstɪŋ/	/hiːz ˈjuːʒəli ˈblæstɪŋ/
/ʃi bi ˈblæstɪŋ/	/ʃiːz ˈjuːʒəli ˈblæstɪŋ/
/ðeɪ bi ˈblæstɪŋ/	/ðeɪ ˈjuːʒəli ˈblæstɪŋ/
/hi bi ˈsleɪɪŋ/	/hiːz ˈjuːʒəli ˈsleɪɪŋ/
/ʃi bi ˈsleɪɪŋ/	/ʃiːz ˈjuːʒəli ˈsleɪɪŋ/
/ðeɪ bi ˈsleɪɪŋ/	/ðeɪ ˈjuːʒəli ˈsleɪɪŋ/
/hi bi ˈwɪpɪŋ/	/hiːz ˈjuːʒəli ˈwɪpɪŋ/
