/hi bə ˈkrækɪn/	/hi bi ˈkrækɪŋ/
/ʃi bə ˈkrækɪn/	/ʃi bi ˈkrækɪŋ/
/ðeɪ bə ˈkrækɪn/	/ðeɪ bi ˈkrækɪŋ/
/hi bə ˈlʌvɪn/	/hi bi ˈlʌvɪŋ/
/ʃi bə ˈlʌvɪn/	/ʃi bi ˈlʌvɪŋ/
/ðeɪ bə ˈlʌvɪn/	/ðeɪ bi ˈlʌvɪŋ/
/hi bə ˈæktɪn/	/hi bi ˈæktɪŋ/
/ʃi bə ˈæktɪn/	/ʃi bi ˈæktɪŋ/
/ðeɪ bə ˈæktɪn/	/ðeɪ bi ˈæktɪŋ/
/hi bə ˈbloʊɪn/	/hi bi ˈbloʊɪŋ/
/ʃi bə ˈbloʊɪn/	/ʃi bi ˈbloʊɪŋ/
/ðeɪ bə ˈbloʊɪn/	/ðeɪ bi ˈbloʊɪŋ/
/hi bə ˈpleɪɪn/	/hi bi ˈpleɪɪŋ/
/ʃi bə ˈpleɪɪn/	/ʃi bi ˈpleɪɪŋ/
/ðeɪ bə ˈpleɪɪn/	/ðeɪ bi ˈpleɪɪŋ/
/hi bə ˈbɔːlɪn/	/hi bi ˈbɔːlɪŋ/
/ʃi bə ˈbɔːlɪn/	/ʃi bi ˈbɔːlɪŋ/
/ðeɪ bə ˈbɔːlɪn/	/ðeɪ bi ˈbɔːlɪŋ/
/hi bə ˈlɪŋkɪn/	/hi bi ˈlɪŋkɪŋ/
/ʃi bə ˈlɪŋkɪn/	/ʃi bi ˈlɪŋkɪŋ/
/ðeɪ bə ˈlɪŋkɪn/	/ðeɪ bi ˈlɪŋkɪŋ/
/hi bə ˈheɪtɪn/	/hi bi ˈheɪtɪŋ/
/ʃi bə ˈheɪtɪn/	/ʃi bi ˈheɪtɪŋ/
/ðeɪ bə ˈheɪtɪn/	/ðeɪ bi ˈheɪtɪŋ/
/hi bə ˈbʌstɪn/	/hi bi ˈbʌstɪŋ/
/ʃi bə ˈbʌstɪn/	/ʃi bi ˈbʌstɪŋ/
/ðeɪ bə ˈbʌstɪn/	/ðeɪ bi ˈbʌstɪŋ/
/hi bə ˈbʌɡɪn/	/hi bi ˈbʌɡɪŋ/
/ʃi bə ˈbʌɡɪn/	/ʃi bi ˈbʌɡɪŋ/
/ðeɪ bə ˈbʌɡɪn/	/ðeɪ bi ˈbʌɡɪŋ/
/hi bə ˈfuːlɪn/	/hi bi ˈfuːlɪŋ/
/ʃi bə ˈfuːlɪn/	/ʃi bi ˈfuːlɪŋ/
/ðeɪ bə ˈfuːlɪn/	/ðeɪ bi ˈfuːlɪŋ/
/hi bə ˈvaɪbɪn/	/hi bi ˈvaɪbɪŋ/
/ʃi bə ˈvaɪbɪn/	/ʃi bi ˈvaɪbɪŋ/
/ðeɪ bə ˈvaɪbɪn/	/ðeɪ bi ˈvaɪbɪŋ/
/hi bə ˈræpɪn/	/hi bi ˈræpɪŋ/
/ʃi bə ˈræpɪn/	/ʃi bi ˈræpɪŋ/
/ðeɪ bə ˈræpɪn/	/ðeɪ bi ˈræpɪŋ/
/hi bə ˈblæstɪn/	/hi bi ˈblæstɪŋ/
/ʃi bə ˈblæstɪn/	/ʃi bi ˈblæstɪŋ/
/ðeɪ bə ˈblæstɪn/	/ðeɪ bi ˈblæstɪŋ/
/hi bə ˈsleɪɪn/	/hi bi ˈsleɪɪŋ/
/ʃi bə ˈsleɪɪn/	/ʃi bi ˈsleɪɪŋ/
/ðeɪ bə ˈsleɪɪn/	/ðeɪ bi ˈsleɪɪŋ/
/hi bə ˈwɪpɪn/	/hi bi ˈwɪpɪŋ/
/ʃi bə ˈwɪpɪn/	/ʃi bi ˈwɪpɪŋ/
/ðeɪ bə ˈwɪpɪn/	/ðeɪ bi ˈwɪpɪŋ/
/hi bə ˈfaɪndɪn/	/hi bi ˈfaɪndɪŋ/
/ʃi bə ˈfaɪndɪn/	/ʃi bi ˈfaɪndɪŋ/
/ðeɪ bə ˈfaɪndɪn/	/ðeɪ bi ˈfaɪndɪŋ/
/hi bə ˈpɑːrkɪn/	/hi bi ˈpɑːrkɪŋ/
/ʃi bə ˈpɑːrkɪn/	/ʃi bi ˈpɑːrkɪŋ/
/ðeɪ bə ˈpɑːrkɪn/	/ðeɪ bi ˈpɑːrkɪŋ/
/hi bə ˈkriːpɪn/	/hi bi ˈkriːpɪŋ/
/ʃi bə ˈkriːpɪn/	/ʃi bi ˈkriːpɪŋ/
/ðeɪ bə ˈkriːpɪn/	/ðeɪ bi ˈkriːpɪŋ/
/hi bə ˈfrɪkɪn/	/hi bi ˈfrɪkɪŋ/
/ʃi bə ˈfrɪkɪn/	/ʃi bi ˈfrɪkɪŋ/
/ðeɪ bə ˈfrɪkɪn/	/ðeɪ bi ˈfrɪkɪŋ/
/hi bə ˈdrɪpɪn/	/hi bi ˈdrɪpɪŋ/
/ʃi bə ˈdrɪpɪn/	/ʃi bi ˈdrɪpɪŋ/
/ðeɪ bə ˈdrɪpɪn/	/ðeɪ bi ˈdrɪpɪŋ/
/hi bə ˈstɪtʃɪn/	/hi bi ˈstɪtʃɪŋ/
/ʃi bə ˈstɪtʃɪn/	/ʃi bi ˈstɪtʃɪŋ/
/ðeɪ bə ˈstɪtʃɪn/	/ðeɪ bi ˈstɪtʃɪŋ/
/hi bə ˈkɪlɪn/	/hi bi ˈkɪlɪŋ/
/ʃi bə ˈkɪlɪn/	/ʃi bi ˈkɪlɪŋ/
/ðeɪ bə ˈkɪlɪn/	/ðeɪ bi ˈkɪlɪŋ/
/hi bə bɪˈliːvɪn/	/hi bi bɪˈliːvɪŋ/
/ʃi bə bɪˈliːvɪn/	/ʃi bi bɪˈliːvɪŋ/
/ðeɪ bə bɪˈliːvɪn/	/ðeɪ bi bɪˈliːvɪŋ/
/hi bə ˈkʌtɪn/	/hi bi ˈkʌtɪŋ/
/ʃi bə ˈkʌtɪn/	/ʃi bi ˈkʌtɪŋ/
/ðeɪ bə ˈkʌtɪn/	/ðeɪ bi ˈkʌtɪŋ/
/hi bə ˈɡɛtɪn/	/hi bi ˈɡɛtɪŋ/
/ʃi bə ˈɡɛtɪn/	/ʃi bi ˈɡɛtɪŋ/
/ðeɪ bə ˈɡɛtɪn/	/ðeɪ bi ˈɡɛtɪŋ/
/hi bə ˈraɪdɪn/	/hi bi ˈraɪdɪŋ/
/ʃi bə ˈraɪdɪn/	/ʃi bi ˈraɪdɪŋ/
/ðeɪ bə ˈraɪdɪn/	/ðeɪ bi ˈraɪdɪŋ/
/hi bə ˈwɔːkɪn/	/hi bi ˈwɔːkɪŋ/
/ʃi bə ˈwɔːkɪn/	/ʃi bi ˈwɔːkɪŋ/
/ðeɪ bə ˈwɔːkɪn/	/ðeɪ bi ˈwɔːkɪŋ/
/hi bə ˈbɪtʃɪn/	/hi bi ˈbɪtʃɪŋ/
/ʃi bə ˈbɪtʃɪn/	/ʃi bi ˈbɪtʃɪŋ/
/ðeɪ bə ˈbɪtʃɪn/	/ðeɪ bi ˈbɪtʃɪŋ/
/hi bə ˈɛvriθɪŋ/	/hi bi ˈɛvriθɪŋ/
/ʃi bə ˈɛvriθɪŋ/	/ʃi bi ˈɛvriθɪŋ/
/ðeɪ bə ˈɛvriθɪŋ/	/ðeɪ bi ˈɛvriθɪŋ/
/hi bə ˈkɪkɪn/	/hi bi ˈkɪkɪŋ/
/ʃi bə ˈkɪkɪn/	/ʃi bi ˈkɪkɪŋ/
/ðeɪ bə ˈkɪkɪn/	/ðeɪ bi ˈkɪkɪŋ/
