hi bi ˈkɹækɪn	hiːz ˈjuːʒəli ˈkɹækɪn
ʃi bi ˈkɹækɪn	ʃiːz ˈjuːʒəli ˈkɹækɪn
ðeɪ bi ˈkɹækɪn	ðeɪ ˈjuːʒəli ˈkɹækɪn
hi bi ˈlʌvɪn	hiːz ˈjuːʒəli ˈlʌvɪn
ʃi bi ˈlʌvɪn	ʃiːz ˈjuːʒəli ˈlʌvɪn
ðeɪ bi ˈlʌvɪn	ðeɪ ˈjuːʒəli ˈlʌvɪn
hi bi ˈæktɪn	hiːz ˈjuːʒəli ˈæktɪn
ʃi bi ˈæktɪn	ʃiːz ˈjuːʒəli ˈæktɪn
ðeɪ bi ˈæktɪn	ðeɪ ˈjuːʒəli ˈæktɪn
hi bi ˈbloʊɪn	hiːz ˈjuːʒəli ˈbloʊɪn
ʃi bi ˈbloʊɪn	ʃiːz ˈjuːʒəli ˈbloʊɪn
ðeɪ bi ˈbloʊɪn	ðeɪ ˈjuːʒəli ˈbloʊɪn
hi bi ˈpleɪɪn	hiːz ˈjuːʒəli ˈpleɪɪn
ʃi bi ˈpleɪɪn	ʃiːz ˈjuːʒəli ˈpleɪɪn
ðeɪ bi ˈpleɪɪn	ðeɪ ˈjuːʒəli ˈpleɪɪn
hi bi ˈbɔːlɪn	hiːz ˈjuːʒəli ˈbɔːlɪn
ʃi bi ˈbɔːlɪn	ʃiːz ˈjuːʒəli ˈbɔːlɪn
ðeɪ bi ˈbɔːlɪn	ðeɪ ˈjuːʒəli ˈbɔːlɪn
hi bi ˈlɪnkɪn	hiːz ˈjuːʒəli ˈlɪnkɪn
ʃi bi ˈlɪnkɪn	ʃiːz ˈjuːʒəli ˈlɪnkɪn
ðeɪ bi ˈlɪnkɪn	ðeɪ ˈjuːʒəli ˈlɪnkɪn
hi bi ˈheɪtɪn	hiːz ˈjuːʒəli ˈheɪtɪn
ʃi bi ˈheɪtɪn	ʃiːz ˈjuːʒəli ˈheɪtɪn
ðeɪ bi ˈheɪtɪn	ðeɪ ˈjuːʒəli ˈheɪtɪn
hi bi ˈbʌstɪn	hiːz ˈjuːʒəli ˈbʌstɪn
ʃi bi ˈbʌstɪn	ʃiːz ˈjuːʒəli ˈbʌstɪn
ðeɪ bi ˈbʌstɪn	ðeɪ ˈjuːʒəli ˈbʌstɪn
hi bi ˈbʌɡɪn	hiːz ˈjuːʒəli ˈbʌɡɪn
ʃi bi ˈbʌɡɪn	ʃiːz ˈjuːʒəli ˈbʌɡɪn
ðeɪ bi ˈbʌɡɪn	ðeɪ ˈjuːʒəli ˈbʌɡɪn
hi bi ˈfuːlɪn	hiːz ˈjuːʒəli ˈfuːlɪn
ʃi bi ˈfuːlɪn	ʃiːz ˈjuːʒəli ˈfuːlɪn
ðeɪ bi ˈfuːlɪn	ðeɪ ˈjuːʒəli ˈfuːlɪn
hi bi ˈvaɪbɪn	hiːz ˈjuːʒəli ˈvaɪbɪn
ʃi bi ˈvaɪbɪn	ʃiːz ˈjuːʒəli ˈvaɪbɪn
ðeɪ bi ˈvaɪbɪn	ðeɪ ˈjuːʒəli ˈvaɪbɪn
hi bi ˈɹæpɪn	hiːz ˈjuːʒəli ˈɹæpɪn
ʃi bi ˈɹæpɪn	ʃiːz ˈjuːʒəli ˈɹæpɪn
ðeɪ bi ˈɹæpɪn	ðeɪ ˈjuːʒəli ˈɹæpɪn
hi bi ˈblæstɪn	hiːz ˈjuːʒəli ˈblæstɪn
ʃi bi ˈblæstɪn	ʃiːz ˈjuːʒəli ˈblæstɪn
ðeɪ bi ˈblæstɪn	ðeɪ ˈjuːʒəli ˈblæstɪn
